Nr,TID,PID,x [micron],y [micron],t [min],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/min],? [deg],?? [deg]
1,1,1,475.464,1080.6,0,9577,0,0,NA,NA,NA,NA,NA
2,1,2,475.464,1080.6,10,12241,0,0,NA,0,0,0,NA
3,1,3,475.464,1080.6,20,11806,0,0,NA,0,0,0,0
4,1,4,477.265,1075.197,30,12435,5.695,5.695,NA,5.695,0.57,-71.565,-71.565
5,1,5,480.867,1069.794,40,25888,12.189,12.081,NA,6.494,0.649,-56.31,15.255
6,1,6,489.872,1064.391,50,16233,22.69,21.687,NA,10.502,1.05,-30.964,25.346
7,1,7,498.877,1049.983,60,15638,39.681,38.543,NA,16.991,1.699,-57.995,-27.031
8,1,8,515.086,1033.774,70,19401,62.604,61.34,NA,22.923,2.292,-45,12.995
9,1,9,511.484,1024.769,80,11250,72.303,66.442,NA,9.699,0.97,-111.801,-66.801
10,1,10,509.683,1024.769,90,12139,74.104,65.483,NA,1.801,0.18,180,-68.199
11,1,11,500.678,1017.565,100,11835,85.636,67.891,NA,11.532,1.153,-141.34,38.66
12,1,12,495.275,1012.162,110,11270,93.277,71.248,NA,7.641,0.764,-135,6.34
13,1,13,489.872,1010.361,120,17653,98.972,71.702,NA,5.695,0.57,-161.565,-26.565
14,1,14,486.27,999.555,130,14480,110.363,81.762,NA,11.391,1.139,-108.435,53.13
15,1,15,484.469,992.351,140,20272,117.788,88.707,NA,7.426,0.743,-104.036,4.399
16,1,16,486.27,994.152,150,21912,120.335,87.121,NA,2.547,0.255,45,149.036
17,1,17,497.076,1010.361,160,19613,139.816,73.489,NA,19.481,1.948,56.31,11.31
18,1,18,515.086,1013.963,170,18853,158.183,77.527,NA,18.367,1.837,11.31,-45
19,1,19,534.897,1026.57,180,17841,181.665,80.321,NA,23.482,2.348,32.471,21.161
20,1,20,547.504,1033.774,190,9688,196.185,85.921,NA,14.52,1.452,29.745,-2.726
21,1,21,558.31,1039.177,200,10069,208.267,92.625,NA,12.081,1.208,26.565,-3.18
22,1,22,569.116,1040.978,210,18771,219.222,101.689,NA,10.955,1.096,9.462,-17.103
23,1,23,585.325,1053.585,220,18480,239.756,113.134,NA,20.535,2.053,37.875,28.413
24,1,24,597.932,1060.789,230,18050,254.276,124.06,NA,14.52,1.452,29.745,-8.13
25,1,25,606.937,1071.595,240,18209,268.343,131.781,NA,14.066,1.407,50.194,20.45
26,1,26,626.748,1089.605,250,22930,295.116,151.552,NA,26.774,2.677,42.274,-7.921
27,1,27,632.151,1089.605,260,16040,300.519,156.946,NA,5.403,0.54,0,-42.274
28,1,28,686.181,1066.192,270,22643,359.404,211.209,NA,58.885,5.888,-23.429,-23.429
29,1,29,691.584,1066.192,280,27539,364.807,216.6,NA,5.403,0.54,0,23.429
30,1,30,707.793,1071.595,290,19457,381.893,232.504,NA,17.086,1.709,18.435,18.435
31,1,31,709.594,1075.197,300,15485,385.92,234.192,NA,4.027,0.403,63.435,45
32,1,32,709.594,1067.993,310,14728,393.124,234.469,NA,7.204,0.72,-90,-153.435
33,1,33,705.992,1051.784,320,16139,409.728,232.322,NA,16.604,1.66,-102.529,-12.529
34,1,34,698.788,1060.789,330,18006,421.26,224.201,NA,11.532,1.153,128.66,-128.811
35,1,35,696.987,1037.376,340,12694,444.743,225.701,NA,23.482,2.348,-94.399,136.941
36,1,36,696.987,1026.57,350,21298,455.549,228.017,NA,10.806,1.081,-90,4.399
37,1,37,689.783,1019.366,360,14956,465.737,222.895,NA,10.188,1.019,-135,-45
38,1,38,680.778,1010.361,370,14232,478.472,216.996,NA,12.735,1.273,-135,0
39,1,39,678.977,1004.958,380,18539,484.167,217.116,NA,5.695,0.57,-108.435,26.565
40,1,40,657.365,990.55,390,17606,510.141,202.97,NA,25.974,2.597,-146.31,-37.875
41,1,41,650.161,981.545,400,15822,521.673,200.826,NA,11.532,1.153,-128.66,17.65
42,1,42,648.36,959.933,410,22871,543.36,210.84,NA,21.687,2.169,-94.764,33.896
43,1,43,673.574,941.923,420,14143,574.346,241.824,NA,30.986,3.099,-35.538,59.226
44,1,44,680.778,936.52,430,14990,583.351,250.825,NA,9.005,0.901,-36.87,-1.332
45,1,45,686.181,936.52,440,15274,588.754,255.266,NA,5.403,0.54,0,36.87
46,1,46,720.4,931.117,450,11604,623.397,286.948,NA,34.643,3.464,-8.973,-8.973
47,1,47,729.405,929.316,460,18489,632.58,295.589,NA,9.183,0.918,-11.31,-2.337
48,1,48,720.4,936.52,470,9878,644.112,284.17,NA,11.532,1.153,141.34,152.65
49,2,1,968.938,778.032,0,19146,0,0,NA,NA,NA,NA,NA
50,2,2,976.142,769.027,10,22283,11.532,11.532,NA,11.532,1.153,-51.34,NA
51,2,3,968.938,769.027,20,15218,18.736,9.005,NA,7.204,0.72,180,-128.66
52,2,4,968.938,769.027,30,15161,18.736,9.005,NA,0,0,0,-180
53,2,5,963.535,770.828,40,20003,24.431,9.005,NA,5.695,0.57,161.565,161.565
54,2,6,963.535,770.828,50,18117,24.431,9.005,NA,0,0,0,-161.565
55,2,7,947.326,770.828,60,11892,40.64,22.781,NA,16.209,1.621,180,180
56,2,8,945.525,772.629,70,10880,43.187,24.028,NA,2.547,0.255,135,-45
57,2,9,938.321,776.231,80,11578,51.242,30.67,NA,8.054,0.805,153.435,18.435
58,2,10,938.321,776.231,90,10187,51.242,30.67,NA,0,0,0,-153.435
59,2,11,938.321,776.231,100,9755,51.242,30.67,NA,0,0,0,0
60,2,12,936.52,778.032,110,9491,53.789,32.418,NA,2.547,0.255,135,135
61,2,13,934.719,778.032,120,10268,55.59,34.219,NA,1.801,0.18,180,45
